Orthogroup	OWEFU	APOSJ_ok
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	OFUSG06069.1.p1	APOSJ_12541
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	APOSJ_01093, APOSJ_01092, APOSJ_01091, APOSJ_42179, APOSJ_00272
OG0000026	OFUSG06751.1.p1	APOSJ_59563
OG0000026	OFUSG26427.1.p1	APOSJ_14352, APOSJ_14353
OG0000026	OFUSG00817.1.p1	APOSJ_58273, APOSJ_64303
OG0000026	OFUSG25446.1.p1	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474
OG0000026	OFUSG24229.1.p1	APOSJ_00259, APOSJ_43475
OG0000028	OFUSG08406.1.p1, OFUSG07639.1.p1	APOSJ_39269
OG0000028	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820
OG0000028	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1	APOSJ_13359, APOSJ_13358
OG0000028	OFUSG16442.1.p1, OFUSG16442.2.p1	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817
OG0000029	OFUSG01397.1.p1, OFUSG01400.1.p1, OFUSG01402.1.p1, OFUSG03457.2.p1, OFUSG03457.1.p1, OFUSG05746.3.p1, OFUSG05746.2.p1, OFUSG05746.1.p1, OFUSG18779.1.p1, OFUSG08105.1.p1, OFUSG09439.1.p1, OFUSG26816.1.p1, OFUSG22757.1.p1, OFUSG11381.1.p1, OFUSG11380.1.p1, OFUSG07090.1.p1, OFUSG07089.1.p1, OFUSG06802.1.p1	APOSJ_32485
OG0000029	OFUSG26611.2.p1, OFUSG26611.1.p1	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	OFUSG21155.1.p1	APOSJ_13377
OG0000030	OFUSG04213.1.p1	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	OFUSG21119.1.p1	APOSJ_46611, APOSJ_46610
OG0000030	OFUSG17928.1.p1	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298
OG0000030	OFUSG17612.1.p1, OFUSG12869.1.p1	APOSJ_24666, APOSJ_08058
OG0000030	OFUSG14128.1.p1, OFUSG14128.2.p1	APOSJ_45466
OG0000031	OFUSG02441.1.p1	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549
OG0000031	OFUSG03747.1.p1, OFUSG01964.1.p1	APOSJ_52458, APOSJ_52455, APOSJ_37355
OG0000031	OFUSG03902.1.p1, OFUSG03902.2.p1	APOSJ_56428
OG0000031	OFUSG16479.2.p1, OFUSG16479.1.p1	APOSJ_58452
OG0000031	OFUSG09754.1.p1	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	OFUSG12627.1.p1	APOSJ_07842, APOSJ_07841
OG0000031	OFUSG02210.1.p1	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	OFUSG17671.1.p1	APOSJ_01762
OG0000031	OFUSG16797.1.p1	APOSJ_03114, APOSJ_03115
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	OFUSG08780.1.p1	APOSJ_60565, APOSJ_21305
OG0000034	OFUSG00313.1.p1	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	OFUSG08088.1.p1	APOSJ_09729
OG0000034	OFUSG09735.1.p1	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	OFUSG08016.1.p1, OFUSG08016.2.p1	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489
OG0000035	OFUSG16461.1.p1	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	OFUSG07703.1.p1	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491
OG0000035	OFUSG09470.1.p1	APOSJ_13857
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	APOSJ_11969, APOSJ_09937
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	APOSJ_12145, APOSJ_12146, APOSJ_14503
OG0000036	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	APOSJ_40313, APOSJ_57892, APOSJ_57894, APOSJ_44483, APOSJ_44484, APOSJ_09826, APOSJ_07844, APOSJ_32814, APOSJ_07948, APOSJ_04832, APOSJ_25308, APOSJ_03257, APOSJ_07947, APOSJ_32808, APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	OFUSG05272.1.p1	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	APOSJ_40888, APOSJ_40889
OG0000037	OFUSG24232.1.p1, OFUSG22475.1.p1	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	OFUSG06853.1.p1	APOSJ_54438
OG0000038	OFUSG15211.1.p1	APOSJ_06808, APOSJ_11405
OG0000038	OFUSG03339.1.p1	APOSJ_44498, APOSJ_44500
OG0000038	OFUSG04771.1.p1	APOSJ_07933, APOSJ_58733
OG0000038	OFUSG03340.1.p1	APOSJ_44502
OG0000038	OFUSG26080.1.p1, OFUSG26080.2.p1	APOSJ_30481
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1, OFUSG02549.1.p1, OFUSG13134.1.p1, OFUSG13129.1.p1, OFUSG05314.1.p1, OFUSG13135.1.p1, OFUSG07045.1.p1	APOSJ_23948
OG0000039	OFUSG04852.1.p1, OFUSG04321.1.p1	APOSJ_63713
OG0000039	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535
OG0000041	OFUSG07896.1.p1	APOSJ_07883
