Orthogroup	OWEFU	NEMVE
OG0000036	OFUSG05272.1.p1	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1, OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1	NEMVE00865, NEMVE01113
OG0000037	OFUSG13518.1.p1	NEMVE10401
OG0000037	OFUSG06378.1.p1, OFUSG06379.1.p1	NEMVE19686
OG0000038	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1	NEMVE14716
OG0000038	OFUSG03339.1.p1	NEMVE16337, NEMVE14526
OG0000039	OFUSG18528.1.p1, OFUSG18528.2.p1	NEMVE01371, NEMVE05995
OG0000039	OFUSG17021.1.p1	NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611
OG0000039	OFUSG19834.1.p1	NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560
OG0000039	OFUSG26646.1.p1	NEMVE06811
OG0000039	OFUSG23983.1.p1, OFUSG19239.1.p1, OFUSG06237.1.p1, OFUSG06237.2.p1, OFUSG00510.1.p1	NEMVE06934
OG0000039	OFUSG05314.1.p1	NEMVE09831
OG0000039	OFUSG04852.1.p1, OFUSG04321.1.p1	NEMVE01294
OG0000040	OFUSG17305.1.p1	NEMVE09375, NEMVE09383, NEMVE14914, NEMVE14247, NEMVE02046, NEMVE19885, NEMVE00080, NEMVE14245, NEMVE01079, NEMVE17217, NEMVE19524, NEMVE10595, NEMVE14183, NEMVE02048, NEMVE06324, NEMVE09502, NEMVE14493, NEMVE10271, NEMVE22260, NEMVE11520, NEMVE08601, NEMVE05782, NEMVE20551
OG0000040	OFUSG26663.1.p1, OFUSG26665.1.p1, OFUSG26662.1.p1, OFUSG26667.2.p1, OFUSG26667.1.p1, OFUSG26660.1.p1, OFUSG26661.1.p1, OFUSG26664.2.p1, OFUSG26661.2.p1, OFUSG26664.1.p1, OFUSG00178.1.p1, OFUSG00136.1.p1, OFUSG00136.2.p1, OFUSG26668.1.p1, OFUSG00137.1.p1	NEMVE11519, NEMVE00417
OG0000041	OFUSG15030.1.p1	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516
OG0000041	OFUSG24031.1.p1, OFUSG24027.1.p1	NEMVE06792
OG0000041	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	OFUSG06586.2.p1, OFUSG06586.1.p1, OFUSG06587.1.p1, OFUSG07896.1.p1	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1	NEMVE05295
OG0000043	OFUSG22688.1.p1	NEMVE14296
